UrchinID,Tank,Treatment,Date,Week,Weight_g,min,sec,Righting_time,Colour,ExpPhase,Tag,Notes
3,3,27,22/06/2026,8,47.66,4,11,251,,Post3,Brown,
4,3,27,22/06/2026,8,43.89,1,5,65,,Post3,Purple,
5,3,27,22/06/2026,8,47.72,10,,600,,Post3,Gold,
6,3,27,22/06/2026,8,37.21,4,1,241,,Post3,Orange,Max
7,3,27,22/06/2026,8,49.2,10,,600,,Post3,NA,Silver
8,3,27,22/06/2026,8,NA,NA,NA,NA,NA,NA,NA,NA
9,3,27,22/06/2026,8,NA,NA,NA,NA,NA,NA,NA,NA
10,3,27,22/06/2026,8,NA,NA,NA,NA,NA,NA,NA,NA
11,3,27,22/06/2026,8,NA,NA,NA,NA,NA,NA,NA,NA
12,3,27,22/06/2026,8,NA,NA,NA,NA,NA,NA,NA,NA
1,8,21,22/06/2026,8,36.52,1,25,85,,Post3,Pink,
2,8,21,22/06/2026,8,37.37,2,59,179,,Post3,Purple,
3,8,21,22/06/2026,8,55.94,3,42,222,,Post3,Red,
4,8,21,22/06/2026,8,62.87,1,47,107,,Post3,Brown,
5,8,21,22/06/2026,8,57.92,2,13,133,,Post3,Orange,
6,8,21,22/06/2026,8,37.01,2,24,144,,Post3,Black,
7,8,21,22/06/2026,8,35.5,2,6,126,,Post3,Green,
8,8,21,22/06/2026,8,54.78,2,46,166,,Post3,Gold,
9,8,21,22/06/2026,8,53.13,3,34,214,,Post3,Yellow,
10,8,21,22/06/2026,8,43.32,2,34,154,,Post3,Blue,
11,8,21,22/06/2026,8,NA,NA,NA,NA,NA,NA,NA,NA
12,8,21,22/06/2026,8,NA,NA,NA,NA,NA,NA,NA,NA
1,9,27,22/06/2026,8,36.17,2,22,142,,Post3,Blue,
2,9,27,22/06/2026,8,34.76,1,12,72,,Post3,Green,
3,9,27,22/06/2026,8,45.42,10,,600,,Post3,Black,
4,9,27,22/06/2026,8,47.13,3,7,187,,Post3,Red,
5,9,27,22/06/2026,8,47.44,10,,600,,Post3,Gold,
6,9,27,22/06/2026,8,58.22,3,58,238,,Post3,Orange,
7,9,27,22/06/2026,8,32.62,2,23,143,,Post3,Brown,
8,9,27,22/06/2026,8,39.56,3,52,232,,Post3,Purple,
9,9,27,22/06/2026,8,53.55,10,,600,,Post3,Pink,
10,9,27,22/06/2026,8,NA,NA,NA,NA,NA,NA,NA,NA
11,9,27,22/06/2026,8,NA,NA,NA,NA,NA,NA,NA,NA
12,9,27,22/06/2026,8,NA,NA,NA,NA,NA,NA,NA,NA
1,10,21,22/06/2026,8,40.85,4,28,268,,Post3,Purple,
2,10,21,22/06/2026,8,42.78,3,16,196,,Post3,Black,
3,10,21,22/06/2026,8,36.98,2,20,140,,Post3,Yellow,
4,10,21,22/06/2026,8,52.76,7,36,456,,Post3,NA,Silver
5,10,21,22/06/2026,8,58.97,3,7,187,,Post3,Blue,
6,10,21,22/06/2026,8,64.89,7,47,467,,Post3,Red,
7,10,21,22/06/2026,8,42.1,10,,600,,Post3,Gold,
8,10,21,22/06/2026,8,40.18,10,,600,,Post3,Pink,
9,10,21,22/06/2026,8,40.39,10,,600,,Post3,Brown,
10,10,21,22/06/2026,8,42.86,1,51,111,,Post3,Green,
11,10,21,22/06/2026,8,NA,NA,NA,NA,NA,NA,NA,NA
12,10,21,22/06/2026,8,NA,NA,NA,NA,NA,NA,NA,NA
13,10,21,22/06/2026,8,NA,NA,NA,NA,NA,NA,NA,NA
